id,verb,label_original,label_suggere,action
536,manage,Manage cloud resources for scalable model training,Provision cloud resources for scalable model training,EDIT
566,manage,Manage model artifacts and versioned checkpoints,Version and maintain model artifacts and checkpoints,EDIT
577,manage,Manage and maintain reproducible machine learning environments,Maintain reproducible machine learning environments,EDIT
580,manage,Manage and track data labeling and quality assurance processes,Track data labeling and quality assurance processes,EDIT
21,monitor,Monitor and maintain web service availability and network configuration,Track web service availability and maintain network configuration,EDIT
43,monitor,Monitor and analyze web user interactions using analytics tools,Analyze web user interactions using analytics tools,EDIT
47,monitor,Monitor and analyze application logs for system insights,Analyze application logs for system insights,EDIT
52,monitor,Monitor and analyze user activity with analytics tools,Analyze user activity with analytics tools,EDIT
59,monitor,Monitor and analyze system and application performance metrics,Analyze system and application performance metrics,EDIT
79,monitor,Monitor system performance and service metrics,Track system performance and service metrics,EDIT
86,monitor,Monitor service availability and automate alert notifications,Track service availability and automate alert notifications,EDIT
93,monitor,Monitor system and application memory usage,Track system and application memory usage,EDIT
114,monitor,Monitor and evaluate web page performance metrics,Evaluate web page performance metrics,EDIT
120,monitor,Monitor and analyze user session data,Analyze user session data,EDIT
126,monitor,Monitor and analyze third-party API status,Analyze third-party API status,EDIT
136,monitor,Monitor and visualize application performance metrics,Visualize and analyze application performance metrics,EDIT
152,monitor,Monitor and analyze application error data,Analyze application error data,EDIT
162,monitor,Monitor and visualize server resource utilization,Visualize server resource utilization,EDIT
167,monitor,Monitor and analyze payment transactions for fraudulent activity,Analyze payment transactions for fraudulent activity,EDIT
177,monitor,Monitor and inspect application error logs and rates,Inspect application error logs and rates,EDIT
190,monitor,Monitor and analyze server and network performance,Analyze server and network performance,EDIT
192,monitor,Monitor backend service metrics and performance,Track backend service metrics and performance,EDIT
205,monitor,Monitor and analyze website availability metrics,Analyze website availability metrics,EDIT
209,monitor,Monitor and analyze cache performance metrics,Analyze cache performance metrics,EDIT
219,monitor,Monitor and improve database query efficiency,Analyze and improve database query efficiency,EDIT
224,monitor,Monitor and report application errors,Track and report application errors,EDIT
232,monitor,Monitor and analyze system and website performance metrics,Analyze system and website performance metrics,EDIT
236,monitor,Monitor and visualize system and application metrics,Visualize system and application metrics,EDIT
240,monitor,Monitor and analyze system security logs,Analyze system security logs,EDIT
244,monitor,Monitor and track frontend JavaScript errors,Track frontend JavaScript errors,EDIT
251,monitor,Monitor and inspect network configuration and connectivity,Inspect network configuration and connectivity,EDIT
253,monitor,Monitor and analyze system log data,Analyze system log data,EDIT
255,monitor,Monitor and inspect API endpoint responses,Inspect API endpoint responses,EDIT
265,monitor,Monitor and debug application error handling,Debug and analyze application error handling,EDIT
270,monitor,Monitor and configure CORS and security policies,Audit CORS and enforce security policies,EDIT
272,monitor,Monitor and validate audit logs for critical actions,Validate audit logs for critical actions,EDIT
274,monitor,Monitor and test API versioning for security gaps,Test API versioning for security gaps,EDIT
275,monitor,Monitor system logs and performance metrics,Analyze system logs and performance metrics,EDIT
287,monitor,Monitor batch jobs for security and operational issues,Audit batch jobs for security and operational issues,EDIT
296,monitor,Monitor and analyze queue processing for anomalies,Analyze queue processing for anomalies,EDIT
303,monitor,Monitor and analyze system and application logs for anomalous activity patterns,Analyze system and application logs for anomalous activity patterns,EDIT
312,monitor,Monitor application performance metrics for potential security implications,Analyze application performance metrics for security implications,EDIT
320,monitor,Monitor anomaly detection alerts and correlate across multiple applications,Detect anomaly alerts and correlate across multiple applications,EDIT
331,monitor,Monitor and assess user session behavior across applications for potential security gaps,Assess user session behavior across applications for security gaps,EDIT
332,monitor,Monitor data retention and archival policies for compliance and security,Audit data retention and archival policies for compliance,EDIT
336,monitor,Monitor patch management effectiveness across multiple environments,Evaluate patch management effectiveness across multiple environments,EDIT
339,monitor,Monitor and evaluate incident detection and response effectiveness,Evaluate incident detection and response effectiveness,EDIT
343,monitor,Monitor and validate alerting thresholds across multiple monitoring tools,Validate alerting thresholds across multiple monitoring tools,EDIT
354,monitor,Monitor network encryption protocols and identify weaknesses,Audit network encryption protocols and identify weaknesses,EDIT
356,monitor,Monitor and audit wireless network configurations for unauthorized access,Audit wireless network configurations for unauthorized access,EDIT
358,monitor,Monitor network traffic and analyze packet captures for sensitive data exposure,Analyze network traffic and packet captures for sensitive data exposure,EDIT
364,monitor,Monitor and enforce endpoint security across devices,Enforce and track endpoint security across devices,EDIT
365,monitor,Monitor and evaluate DNS configurations for leakage risks,Evaluate DNS configurations for leakage risks,EDIT
380,monitor,Monitor API gateways for abuse patterns,Detect and analyze API gateway abuse patterns,EDIT
394,monitor,Monitor privileged administrative actions through log analysis,Audit privileged administrative actions through log analysis,EDIT
398,monitor,Monitor and validate alert escalation workflows during simulated security incidents,Validate alert escalation workflows during simulated security incidents,EDIT
399,monitor,Monitor and evaluate endpoint detection and response systems,Evaluate endpoint detection and response systems,EDIT
404,monitor,Monitor and ensure multi-factor authentication coverage across systems,Audit multi-factor authentication coverage across systems,EDIT
405,monitor,Monitor and assess third-party vendor security in the supply chain,Assess third-party vendor security in the supply chain,EDIT
406,monitor,Monitor and assess cloud tenant isolation and cross-tenant risks,Assess cloud tenant isolation and cross-tenant risks,EDIT
410,monitor,Monitor and validate API logging for forensic readiness,Validate API logging for forensic readiness,EDIT
413,monitor,Monitor and validate data loss prevention controls for sensitive data flows,Validate data loss prevention controls for sensitive data flows,EDIT
418,monitor,Monitor and analyze telemetry data for anomaly detection effectiveness,Analyze telemetry data for anomaly detection effectiveness,EDIT
427,monitor,Monitor and assess secrets exposure in code and configuration repositories,Assess secrets exposure in code and configuration repositories,EDIT
428,monitor,Monitor and assess lateral movement detection coverage in network traffic,Assess lateral movement detection coverage in network traffic,EDIT
429,monitor,Monitor and validate the secure exposure of developer and staging environments,Validate secure exposure of developer and staging environments,EDIT
430,monitor,Monitor and assess vulnerability remediation efforts against defined risk thresholds,Assess vulnerability remediation efforts against risk thresholds,EDIT
431,monitor,Monitor and validate segregation of duties in privileged operations workflows,Validate segregation of duties in privileged operations workflows,EDIT
432,monitor,Monitor and analyze observability for critical business transactions,Analyze observability for critical business transactions,EDIT
434,monitor,Monitor threat intelligence integration and detection workflows,Track threat intelligence integration and detection workflows,EDIT
435,monitor,Monitor and assess compliance with secure baselines for container images and runtimes,Assess compliance with secure baselines for container images,EDIT
436,monitor,Monitor and enforce data classification policies across systems,Enforce and audit data classification policies across systems,EDIT
441,monitor,Monitor and validate endpoint posture compliance and configuration drift,Validate endpoint posture compliance and configuration drift,EDIT
442,monitor,Monitor and assess the maturity of application security testing programs,Assess the maturity of application security testing programs,EDIT
485,monitor,Monitor exposure of developer tools and CI artifacts to the internet,Audit exposure of developer tools and CI artifacts to the internet,EDIT
486,monitor,Monitor security tagging and metadata for asset prioritization,Audit security tagging and metadata for asset prioritization,EDIT
487,monitor,Monitor external scanning cadence and scope coverage,Audit external scanning cadence and scope coverage,EDIT
490,monitor,Monitor and validate security configurations for new infrastructure components,Validate security configurations for new infrastructure components,EDIT
491,monitor,Monitor and validate DNS security configurations,Validate DNS security configurations,EDIT
492,monitor,Monitor and assess incident response playbook effectiveness,Assess incident response playbook effectiveness,EDIT
494,monitor,Monitor and audit privileged credential vault access,Audit privileged credential vault access,EDIT
495,monitor,Monitor and optimize telemetry sampling strategies,Optimize and tune telemetry sampling strategies,EDIT
496,monitor,Monitor and validate escalation processes for vulnerability disclosures,Validate escalation processes for vulnerability disclosures,EDIT
497,monitor,Monitor and evaluate the resilience of service meshes and proxies,Evaluate the resilience of service meshes and proxies,EDIT
506,monitor,Monitor model training and detect overfitting,Track model training progress and detect overfitting,EDIT
513,monitor,Monitor deployed models for drift in input data distribution,Detect drift in deployed model input data distributions,EDIT
521,monitor,Monitor system resource utilization during model training,Track system resource utilization during model training,EDIT
538,monitor,Monitor model accuracy decay over time in production,Detect model accuracy decay over time in production,EDIT
547,monitor,Monitor training datasets for data quality issues,Audit training datasets for data quality issues,EDIT
553,monitor,Monitor model drift and retrain when necessary,Detect model drift and trigger retraining when necessary,EDIT
564,monitor,Monitor model inference logs for anomalies,Analyze model inference logs for anomalies,EDIT
571,monitor,Monitor cloud-based training costs and resource usage,Track cloud-based training costs and resource usage,EDIT
578,monitor,Monitor and evaluate model fairness,Evaluate and improve model fairness,EDIT
579,monitor,Monitor model performance on live data streams,Track model performance on live data streams,EDIT
591,monitor,Monitor model latency and optimize serving endpoints,Track model latency and optimize serving endpoints,EDIT
597,monitor,Monitor input data streams for anomalies,Detect anomalies in input data streams,EDIT
606,monitor,Monitor drift in feature distributions across multiple datasets,Detect drift in feature distributions across multiple datasets,EDIT
618,monitor,Monitor and ensure reproducibility of experiments across environments,Ensure reproducibility of experiments across environments,EDIT
622,monitor,Monitor and optimize cloud resource allocation for cost efficiency,Optimize cloud resource allocation for cost efficiency,EDIT
624,monitor,Monitor and alert on model performance during production inference,Track and alert on model performance during production inference,EDIT
629,monitor,Monitor fairness metrics for group-specific predictions,Track fairness metrics for group-specific predictions,EDIT
634,monitor,Monitor ensemble model consistency across predictions,Track ensemble model consistency across predictions,EDIT
