id,label_original,label_suggere,action
271,Monitor and manage intrusion detection systems,Track and respond to intrusion detection system alerts,EDIT
273,Monitor and manage firewall configurations and network access control lists,Audit and maintain firewall configurations and network access control lists,EDIT
278,Monitor and manage sensitive data handling in CI/CD pipelines,Audit and enforce sensitive data handling in CI/CD pipelines,EDIT
279,Monitor and manage user privilege escalation protections,Detect and prevent user privilege escalation attempts,EDIT
280,Monitor and manage telemetry for privacy leaks,Audit and enforce telemetry privacy controls,EDIT
281,Validate and manage service-to-service authentication,Validate and enforce service-to-service authentication,EDIT
282,Monitor and manage database access permissions,Audit and enforce database access permissions,EDIT
289,Monitor and manage system alerts for accuracy,Validate and tune system alert accuracy,EDIT
297,Monitor and manage system configuration drift,Detect and remediate system configuration drift,EDIT
345,Monitor and manage configuration drift and ensure enforcement of secure baselines,Detect and remediate configuration drift and enforce secure baselines,EDIT
359,Monitor and manage isolation in multi-tenant cloud environments,Audit and enforce isolation in multi-tenant cloud environments,EDIT
361,Review and manage API authentication mechanisms for security,Review and enforce API authentication mechanisms for security,EDIT
362,Monitor and manage role-based access controls in applications,Audit and enforce role-based access controls in applications,EDIT
363,Monitor and manage software vulnerabilities and updates,Track and remediate software vulnerabilities and updates,EDIT
386,Validate secure handling and management of environment secrets,Validate and enforce secure handling of environment secrets,EDIT
400,Coordinate and manage red team engagements with stakeholders,Coordinate and execute red team engagements with stakeholders,EDIT
401,Develop and manage threat models for business workflows,Build and maintain threat models for business workflows,EDIT
411,Audit and manage service account permissions to enforce least-privilege policies,Audit and enforce service account permissions for least-privilege policies,EDIT
412,Develop and manage prioritized remediation roadmaps,Build and maintain prioritized remediation roadmaps,EDIT
414,Monitor and manage file integrity protections for critical configuration files,Audit and enforce file integrity protections for critical configuration files,EDIT
415,Evaluate and manage secure onboarding and offboarding processes for user accounts,Evaluate and enforce secure onboarding and offboarding processes for user accounts,EDIT
437,Monitor and manage incident escalation processes and SLA compliance,Track and enforce incident escalation processes and SLA compliance,EDIT
438,Monitor and manage privacy controls for regulated personal data handling,Audit and enforce privacy controls for regulated personal data handling,EDIT
439,Monitor and manage network micro-segmentation for sensitive zones,Audit and enforce network micro-segmentation for sensitive zones,EDIT
440,Monitor and manage automated response playbooks for security incidents,Maintain and test automated response playbooks for security incidents,EDIT
444,Monitor and manage cross-team remediation efforts,Track and coordinate cross-team remediation efforts,EDIT
445,Monitor and manage secure telemetry data retention and access controls,Audit and enforce secure telemetry data retention and access controls,EDIT
446,Monitor and manage business continuity alignment with security controls,Audit and enforce business continuity alignment with security controls,EDIT
493,Monitor and manage remediation tasks against SLA deadlines,Track and enforce remediation tasks against SLA deadlines,EDIT
499,Monitor and manage executive communication during active incidents,Coordinate and report executive communication during active incidents,EDIT
523,Track and manage experiment results for reproducibility,Track and document experiment results for reproducibility,EDIT
524,Implement and manage real-time data feature extraction pipelines,Implement and maintain real-time data feature extraction pipelines,EDIT
526,Monitor and manage model inference logs and prediction errors,Track and analyze model inference logs and prediction errors,EDIT
527,Deploy and manage monitoring dashboards for model performance,Build and deploy monitoring dashboards for model performance,EDIT
581,Apply and manage regularization techniques in machine learning models,Apply and evaluate regularization techniques in machine learning models,EDIT
609,Coordinate and manage cross-functional experiments across multiple teams,Coordinate and track cross-functional experiments across multiple teams,EDIT
610,Automate and manage model deployment in containerized environments using Kubernetes and Docker,Automate and maintain model deployment in containerized environments using Kubernetes and Docker,EDIT
644,Monitor and manage model retraining triggers based on input data anomalies,Track and automate model retraining triggers based on input data anomalies,EDIT
647,Evaluate and manage multi-cloud deployment strategies for machine learning workloads,Evaluate and implement multi-cloud deployment strategies for machine learning workloads,EDIT
650,Develop and manage machine learning model pipelines,Build and maintain machine learning model pipelines,EDIT
657,Assess and manage scalability of real-time inference services,Assess and optimize scalability of real-time inference services,EDIT
836,Configure and manage network segmentation for sensitive data zones,Set up and enforce network segmentation for sensitive data zones,EDIT
899,Monitor and manage inter-branch link utilization,Track and optimize inter-branch link utilization,EDIT
903,Audit and manage network device access permissions,Audit and enforce network device access permissions,EDIT
908,Configure and manage centralized SNMP monitoring dashboards,Set up and maintain centralized SNMP monitoring dashboards,EDIT
912,Validate and manage QoS policies for video conferencing traffic,Validate and enforce QoS policies for video conferencing traffic,EDIT
913,Monitor and manage network link redundancy across multiple sites,Track and maintain network link redundancy across multiple sites,EDIT
928,Audit inter-office link utilization and manage traffic distribution,Audit inter-office link utilization and optimize traffic distribution,EDIT
952,Configure and manage redundant WAN connections for disaster recovery,Set up and maintain redundant WAN connections for disaster recovery,EDIT
1035,Validate and manage firmware versions on security appliances,Validate and track firmware versions on security appliances,EDIT
1036,Monitor and manage network performance with automated threshold-based alerts,Track and optimize network performance with automated threshold-based alerts,EDIT
1042,Audit and manage NAT and port forwarding configurations,Audit and maintain NAT and port forwarding configurations,EDIT
1043,Assess and manage security compliance of remote access VPNs,Assess and enforce security compliance of remote access VPNs,EDIT
1044,Monitor and manage network interface error counts for maintenance,Track and maintain network interface error counts,EDIT
1045,Validate and manage backup and restore procedures for core devices,Validate and automate backup and restore procedures for core devices,EDIT
1046,Create and manage network performance dashboards for executives,Create and maintain network performance dashboards for executives,EDIT
1047,Audit and manage inter-VLAN ACL rules for policy compliance,Audit and enforce inter-VLAN ACL rules for policy compliance,EDIT
1048,Monitor and manage wireless network client distribution,Track and optimize wireless network client distribution,EDIT
1049,Validate and manage QoS configurations for cloud-based video services,Validate and enforce QoS configurations for cloud-based video services,EDIT
1070,Configure and manage storage systems and export block devices to hosts,Set up and maintain storage systems and export block devices to hosts,EDIT
1082,Enforce and manage privileged access and sudo policies,Enforce and audit privileged access and sudo policies,EDIT
1084,Integrate and manage configuration management tools for infrastructure,Integrate and maintain configuration management tools for infrastructure,EDIT
1087,Configure and manage log rotation and compression policies,Set up and automate log rotation and compression policies,EDIT
1088,Orchestrate and manage cluster node replacement operations,Orchestrate and execute cluster node replacement operations,EDIT
1093,Implement and manage host quarantine procedures for compromised machines,Implement and enforce host quarantine procedures for compromised machines,EDIT
1095,Configure and manage encrypted remote access solutions,Set up and maintain encrypted remote access solutions,EDIT
1101,Audit installed software and manage software license compliance,Audit installed software and enforce software license compliance,EDIT
1103,Configure and manage automated snapshot policies for virtual hosts,Set up and automate snapshot policies for virtual hosts,EDIT
1105,Implement and manage centralized authentication across multiple hosts,Implement and enforce centralized authentication across multiple hosts,EDIT
1117,Monitor and manage disk usage and plan for storage expansion,Track disk usage and plan for storage expansion,EDIT
1118,Configure and manage host resource alerting,Set up and maintain host resource alerting,EDIT
1120,Coordinate and manage system upgrades to new OS versions,Coordinate and execute system upgrades to new OS versions,EDIT
1122,Validate and manage SELinux and AppArmor policies,Validate and enforce SELinux and AppArmor policies,EDIT
1125,Configure and manage high-availability clusters for critical services,Set up and maintain high-availability clusters for critical services,EDIT
1127,Monitor and manage host-based intrusion detection systems,Track and respond to host-based intrusion detection alerts,EDIT
1137,Enforce and manage host naming conventions and metadata tags,Enforce and maintain host naming conventions and metadata tags,EDIT
1142,Configure and manage time synchronization for system clocks,Set up and maintain time synchronization for system clocks,EDIT
1154,Enforce and manage mandatory access control policies across servers,Enforce and audit mandatory access control policies across servers,EDIT
1161,Monitor and manage resource contention in virtualized environments,Track and resolve resource contention in virtualized environments,EDIT
1162,Configure and manage encryption for sensitive host partitions,Set up and enforce encryption for sensitive host partitions,EDIT
1174,Audit and manage service dependencies and startup sequences,Audit and maintain service dependencies and startup sequences,EDIT
1182,Validate and manage time synchronization across clustered hosts,Validate and maintain time synchronization across clustered hosts,EDIT
1192,Configure and manage high-availability services,Set up and maintain high-availability services,EDIT
1199,Enforce and manage configuration policies across systems,Enforce and audit configuration policies across systems,EDIT
1216,Audit and manage OS service configurations,Audit and maintain OS service configurations,EDIT
1218,Monitor and manage memory usage trends,Track and analyze memory usage trends,EDIT
1220,Monitor and manage RAID array health and rebuild processes,Track and maintain RAID array health and rebuild processes,EDIT
1222,Monitor and manage ephemeral storage usage,Track and optimize ephemeral storage usage,EDIT
1223,Enforce and manage host security compliance across cloud instances,Enforce and audit host security compliance across cloud instances,EDIT
1225,Monitor and manage disk space usage across the system,Track and optimize disk space usage across the system,EDIT
1233,Monitor and manage critical system daemons for crashes,Track and restart critical system daemons on crashes,EDIT
1279,Monitor and manage system daemon configurations for unauthorized changes,Audit and enforce system daemon configurations for unauthorized changes,EDIT
1284,Monitor and manage container host security settings,Audit and enforce container host security settings,EDIT
1285,Monitor and manage storage pool redundancy configurations,Track and maintain storage pool redundancy configurations,EDIT
1335,Validate and manage system rollback mechanisms,Validate and test system rollback mechanisms,EDIT
1336,Monitor and manage RAID array rebuild processes,Track RAID array rebuild processes,EDIT
1338,Monitor and manage time synchronization across systems,Track and enforce time synchronization across systems,EDIT
1341,Monitor and manage network bonding configurations,Track and maintain network bonding configurations,EDIT
1342,Monitor and manage container runtime behavior,Track and maintain container runtime behavior,EDIT
1343,Audit and manage storage tiering and migration operations,Audit and maintain storage tiering and migration operations,EDIT
1344,Validate and manage automated provisioning processes,Validate and automate provisioning processes,EDIT
1345,Monitor and manage ephemeral host creation and resource allocation,Track and optimize ephemeral host creation and resource allocation,EDIT
1347,Monitor and manage backup integrity through restore testing,Validate backup integrity through restore testing,EDIT
1348,Monitor and manage host firmware update status and compliance,Track and enforce host firmware update status and compliance,EDIT
1349,Monitor and manage SSL certificate deployments and renewals,Track and renew SSL certificate deployments,EDIT
1353,Create and manage a spreadsheet for tracking monthly expenses,Create and maintain a spreadsheet for tracking monthly expenses,EDIT
1354,Create and manage presentation slides for a project,Create and update presentation slides for a project,EDIT
1355,Browse and manage printer documentation and troubleshooting resources,Browse and organize printer documentation and troubleshooting resources,EDIT
1356,Stream and manage podcast content,Stream and organize podcast content,EDIT
1357,Organize and manage trip photos on the desktop,Organize and sort trip photos on the desktop,EDIT
1361,Scan and manage documents for email distribution,Scan and send documents for email distribution,EDIT
1365,Extract and manage course materials from a zip archive,Extract and organize course materials from a zip archive,EDIT
1376,Capture and manage screenshots for error documentation,Capture and store screenshots for error documentation,EDIT
1378,Restore and manage old document versions from backups,Restore and recover old document versions from backups,EDIT
1382,Organize and manage daily study tasks,Organize and track daily study tasks,EDIT
1386,Monitor and manage laptop battery status,Track and optimize laptop battery status,EDIT
1389,Monitor and manage system performance by closing unused applications,Track and optimize system performance by closing unused applications,EDIT
1391,Monitor and manage system security by scanning for and removing malware,Scan and remove malware to maintain system security,EDIT
1397,Download and manage movies for offline viewing,Download and store movies for offline viewing,EDIT
1419,Edit and manage documents and related files,Edit and organize documents and related files,EDIT
1420,Install and manage system fonts for a creative project,Install and maintain system fonts for a creative project,EDIT
1421,Create and manage disk image files,Create and maintain disk image files,EDIT
1422,Transfer and manage files from a USB drive to the system,Transfer and organize files from a USB drive to the system,EDIT
1424,Edit and manage configuration files,Edit and maintain configuration files,EDIT
1425,Configure and manage screen saver settings,Set up and configure screen saver settings,EDIT
1430,Export and manage contact information from the email app,Export and archive contact information from the email app,EDIT
1431,Import and manage contacts in a new mail account,Import and sync contacts in a new mail account,EDIT
1433,Configure and manage power settings for battery saver mode,Set up and optimize power settings for battery saver mode,EDIT
1441,Configure and manage network restrictions using parental controls,Set up and enforce network restrictions using parental controls,EDIT
1442,Configure and manage display settings for presentations,Set up and configure display settings for presentations,EDIT
1443,Record and manage audio input from external devices,Record and process audio input from external devices,EDIT
1450,Organize and manage browser bookmarks into categorized folders,Organize browser bookmarks into categorized folders,EDIT
1457,Engage in online forum discussions and manage content,Engage in online forum discussions and moderate content,EDIT
1458,Stream and manage music playlists across devices,Stream and organize music playlists across devices,EDIT
1459,Plan and manage a trip itinerary using mapping and transportation tools,Plan and organize a trip itinerary using mapping and transportation tools,EDIT
1460,Organize and manage a collection of e-books in categorized folders,Organize a collection of e-books in categorized folders,EDIT
1467,Monitor and manage fitness data using wearable devices,Track and analyze fitness data using wearable devices,EDIT
1469,Customize and manage notification preferences across applications,Customize and configure notification preferences across applications,EDIT
1470,Collaborate on and manage shared documents,Collaborate on and maintain shared documents,EDIT
1486,Sync and manage browser bookmarks across multiple devices,Sync and organize browser bookmarks across multiple devices,EDIT
1488,Customize and manage desktop themes and wallpapers,Customize and apply desktop themes and wallpapers,EDIT
1490,Organize and manage scanned documents,Organize and archive scanned documents,EDIT
1491,Schedule and manage video calls,Schedule and conduct video calls,EDIT
1492,Stream and manage educational content,Stream and organize educational content,EDIT
1493,Share and manage digital event invitations,Share and track digital event invitations,EDIT
1494,Configure and manage email filtering rules,Set up and automate email filtering rules,EDIT
1495,Track and manage loyalty points across multiple programs,Track and redeem loyalty points across multiple programs,EDIT
1496,Schedule and manage blog posts across platforms,Schedule and publish blog posts across platforms,EDIT
1505,Organize and manage downloaded podcasts,Organize and archive downloaded podcasts,EDIT
1506,Create and manage playlists for different moods and occasions,Create and maintain playlists for different moods and occasions,EDIT
1508,Monitor and manage energy usage with smart home devices,Track and optimize energy usage with smart home devices,EDIT
1509,Configure and manage wireless devices for home automation,Set up and configure wireless devices for home automation,EDIT
1525,"Plan and manage events, including invitations",Plan and coordinate events including invitations,EDIT
1528,Organize and manage digital learning materials for courses,Organize and maintain digital learning materials for courses,EDIT
1542,Set up and manage automatic encrypted backups for mobile devices,Set up and automate encrypted backups for mobile devices,EDIT
1544,Monitor and manage device storage usage,Track and optimize device storage usage,EDIT
1549,Install and manage system software updates,Install and apply system software updates,EDIT
1552,Track and manage daily water intake,Track and log daily water intake,EDIT
1553,Participate in and manage online quizzes,Participate in and track online quizzes,EDIT
1554,Set up and manage reminders for important dates,Set up and configure reminders for important dates,EDIT
1557,Configure and manage two-factor authentication for accounts,Set up and enforce two-factor authentication for accounts,EDIT
1570,Create and manage digital diary entries,Create and maintain digital diary entries,EDIT
1579,Track and manage recurring subscriptions and payments,Track and review recurring subscriptions and payments,EDIT
1598,Monitor and manage device security alerts and notifications,Track and respond to device security alerts and notifications,EDIT
1620,Explore and manage new music playlists,Explore and curate new music playlists,EDIT
1626,Upload and manage video content on a social platform,Upload and publish video content on a social platform,EDIT
1627,Edit and manage a personal blog post,Edit and publish a personal blog post,EDIT
1655,Monitor and manage bank account balances,Track and review bank account balances,EDIT
1662,Browse and manage digital magazines or e-books,Browse and organize digital magazines or e-books,EDIT
1689,Play and manage casual games on mobile and computer,Play and track casual games on mobile and computer,EDIT
1692,Explore and manage free stock photo resources,Explore and download free stock photo resources,EDIT
1700,Configure and manage email signatures,Set up and configure email signatures,EDIT
1702,Filter and manage spam emails,Filter and remove spam emails,EDIT
1706,Research and manage local health services,Research and find local health services,EDIT
1707,Monitor and manage vaccination schedules,Track and maintain vaccination schedules,EDIT
1708,Book and manage fitness and yoga class schedules,Book and track fitness and yoga class schedules,EDIT
1709,Track and manage daily water intake,Track and log daily water intake,EDIT
1712,Monitor and manage electricity consumption with smart devices,Track and optimize electricity consumption with smart devices,EDIT
1714,Configure and manage smart home automation routines,Set up and automate smart home automation routines,EDIT
1724,Register and manage loyalty program accounts online,Register and track loyalty program accounts online,EDIT
1727,Configure and manage mobile hotspot settings,Set up and configure mobile hotspot settings,EDIT
1729,Configure and manage parental control settings for monitoring apps,Set up and enforce parental control settings for monitoring apps,EDIT
1731,Configure and manage app usage limits on devices,Set up and enforce app usage limits on devices,EDIT
1735,Convert and manage documents in PDF format,Convert and export documents in PDF format,EDIT
1739,Restore and manage contacts from cloud backup,Restore and sync contacts from cloud backup,EDIT
1763,Optimize database queries and manage indexes for efficiency,Optimize database queries and maintain indexes for efficiency,EDIT
1776,Configure environment variables and manage secrets securely,Configure environment variables and store secrets securely,EDIT
1782,Implement and manage feature flags for controlled feature rollouts,Implement and maintain feature flags for controlled feature rollouts,EDIT
1787,Develop and manage CLI tools to automate internal workflows,Build CLI tools to automate internal workflows,EDIT
1798,Develop and manage containerized microservices with communication and orchestration tools,Build and deploy containerized microservices with communication and orchestration tools,EDIT
1801,Configure and manage logging for efficient monitoring and analysis,Set up and maintain logging for efficient monitoring and analysis,EDIT
1813,Configure and manage containerized testing environments,Set up and maintain containerized testing environments,EDIT
1816,Write and manage documentation for internal libraries and tools,Write and maintain documentation for internal libraries and tools,EDIT
1817,Implement and manage session expiration and token refresh mechanisms,Implement and enforce session expiration and token refresh mechanisms,EDIT
1818,Run and manage regression tests before releases,Run and track regression tests before releases,EDIT
1819,Configure and manage build tools for generating optimized production artifacts,Set up and optimize build tools for generating production artifacts,EDIT
1821,Automate and manage database schema migrations,Automate and execute database schema migrations,EDIT
1822,Implement and manage rate-limiting for API endpoints,Implement and enforce rate-limiting for API endpoints,EDIT
1853,Automate deployment and management of multi-service applications,Automate deployment and orchestration of multi-service applications,EDIT
1854,Integrate and manage secure payment processing workflows,Integrate and maintain secure payment processing workflows,EDIT
1878,Implement and manage API gateways for traffic routing and security,Implement and maintain API gateways for traffic routing and security,EDIT
1882,Monitor and manage service-level agreements for uptime,Track and enforce service-level agreements for uptime,EDIT
1886,Implement and manage data transformation pipelines for analytics,Implement and maintain data transformation pipelines for analytics,EDIT
1888,Design and manage microservice orchestration using container platforms,Design and implement microservice orchestration using container platforms,EDIT
1902,Design and manage modular APIs for multi-platform integration,Design and maintain modular APIs for multi-platform integration,EDIT
1923,Coordinate and manage feature testing across development and staging environments,Coordinate and track feature testing across development and staging environments,EDIT
1925,Develop and manage multi-service authentication frameworks,Build and maintain multi-service authentication frameworks,EDIT
1928,Design and manage cross-service communication protocols,Design and implement cross-service communication protocols,EDIT
1949,Design and manage scalable event handling systems for high-volume traffic,Design and implement scalable event handling systems for high-volume traffic,EDIT
1950,Design and manage modular service architectures for new projects,Design and implement modular service architectures for new projects,EDIT
1952,Implement and manage secure data pipelines across distributed systems,Implement and maintain secure data pipelines across distributed systems,EDIT
1953,Develop and manage orchestration scripts for automated workflows,Build and maintain orchestration scripts for automated workflows,EDIT
1954,Optimize and manage inter-service communication protocols,Optimize and maintain inter-service communication protocols,EDIT
1955,Coordinate and manage multi-environment deployment strategies,Coordinate and automate multi-environment deployment strategies,EDIT
1956,Implement and manage automated scaling rules for cloud applications,Implement and maintain automated scaling rules for cloud applications,EDIT
1957,Design and manage logging and alerting frameworks,Design and implement logging and alerting frameworks,EDIT
1958,Maintain and manage service dependency maps for troubleshooting,Maintain and document service dependency maps for troubleshooting,EDIT
1959,Implement and manage secure token-based authentication across services,Implement and enforce secure token-based authentication across services,EDIT
1961,Develop and manage shared SDKs for internal service consumption,Build and publish shared SDKs for internal service consumption,EDIT
1973,Execute and manage automated testing workflows,Execute and automate testing workflows,EDIT
1980,Configure and manage distributed service infrastructure,Set up and maintain distributed service infrastructure,EDIT
1988,Develop and manage modular plugin architectures,Build and maintain modular plugin architectures,EDIT
1991,Implement and manage error monitoring and handling mechanisms,Implement and maintain error monitoring and handling mechanisms,EDIT
1995,Design and manage caching mechanisms for improved performance,Design and implement caching mechanisms for improved performance,EDIT
1996,Monitor and manage distributed lock systems and synchronization mechanisms,Track and maintain distributed lock systems and synchronization mechanisms,EDIT
2109,Provision and manage typed cloud infrastructure as code with Pulumi and TypeScript,Provision and maintain typed cloud infrastructure as code with Pulumi and TypeScript,EDIT
2129,"Define, validate, and manage Prometheus alerting and recording rules","Define, validate, and configure Prometheus alerting and recording rules",EDIT
2130,Provision and manage AWS infrastructure using CloudFormation templates,Provision and maintain AWS infrastructure using CloudFormation templates,EDIT
2132,Provision and manage Azure resources using Bicep infrastructure as code templates,Provision and maintain Azure resources using Bicep infrastructure as code templates,EDIT
2171,Configure and manage ELT data synchronisation pipelines using Airbyte,Set up and maintain ELT data synchronisation pipelines using Airbyte,EDIT
2179,Internationalise a React application and manage translation files with i18next and Crowdin,Internationalise a React application and maintain translation files with i18next and Crowdin,EDIT
2183,Configure an OpenLDAP directory and manage user entries via LDIF imports,Configure an OpenLDAP directory and maintain user entries via LDIF imports,EDIT
2219,Define SQLAlchemy ORM models and manage schema migrations with Alembic,Define SQLAlchemy ORM models and automate schema migrations with Alembic,EDIT
2222,Ingest structured data into Elasticsearch via Logstash and manage index templates,Ingest structured data into Elasticsearch via Logstash and configure index templates,EDIT
2227,Instrument LLM application traces and manage prompt versions with Langfuse observability,Instrument LLM application traces and version prompts with Langfuse observability,EDIT
2335,Migrate and manage Google Cloud Storage buckets with lifecycle policies and IAM access controls,Migrate and configure Google Cloud Storage buckets with lifecycle policies and IAM access controls,EDIT
2354,Deploy and manage ephemeral preview environments and production services on Kubernetes with Porter,Deploy and maintain ephemeral preview environments and production services on Kubernetes with Porter,EDIT
2502,Run virtual machines on Kubernetes with KubeVirt and manage live migration policies,Run virtual machines on Kubernetes with KubeVirt and configure live migration policies,EDIT
3025,Monitor ML model health and manage automated retraining triggers in production,Track ML model health and automate retraining triggers in production,EDIT
3039,Monitor and manage ML model deployments and detect drift in production,Track and maintain ML model deployments and detect drift in production,EDIT
3069,Monitor and manage ML model pipelines and deployments on Vertex AI,Track and maintain ML model pipelines and deployments on Vertex AI,EDIT
3103,Monitor and manage ML model pipelines and endpoints on Amazon SageMaker,Track and maintain ML model pipelines and endpoints on Amazon SageMaker,EDIT
