id,verb,label_original,label_suggere,action,nb_items
233,manage,Manage API request handling and rate control,,KEEP,9
235,manage,Manage and secure online payment processing,,KEEP,9
239,manage,Manage and organize content with structured tagging,,KEEP,9
241,manage,Manage and optimize content delivery networks,,KEEP,9
247,manage,Manage real-time notification delivery and monitoring,,KEEP,9
248,manage,Manage logging for external service interactions,,KEEP,9
249,manage,Manage continuous deployment workflows,,KEEP,9
254,manage,Manage and inspect data encryption configurations,,KEEP,9
259,manage,Manage and inspect third-party service integrations,,KEEP,9
260,manage,Manage secure authentication and secret storage,,KEEP,9
262,manage,Manage and review cloud IAM configurations,,KEEP,9
266,manage,Manage and test multi-factor authentication configurations,,KEEP,9
267,manage,Manage and monitor backup and recovery operations,,KEEP,9
268,manage,Manage and audit role-based access controls,,KEEP,9
269,manage,Manage and assess dependency configurations,,KEEP,9
276,manage,Manage SSL certificates and security configurations,,KEEP,6
277,manage,Manage session cookie configurations and security,,KEEP,6
283,manage,Manage and review caching and header configurations,,KEEP,9
286,manage,Manage and ensure secure handling of sensitive files,,KEEP,9
288,manage,Manage and monitor feature toggle configurations,,KEEP,9
290,manage,Manage and verify backup encryption processes,,KEEP,7
291,manage,Manage and configure Single Sign-On and federated identity integrations,,KEEP,7
292,manage,Manage and monitor automated test coverage and gaps,,KEEP,7
294,manage,Manage and review file permissions for uploaded content storage,,KEEP,7
295,manage,Manage and analyze logging frameworks for completeness,,KEEP,7
298,manage,Manage rate limiting and quota enforcement,,KEEP,7
396,manage,Manage and assess integration points of external SaaS services,,KEEP,13
403,manage,Manage and monitor phishing simulations for resilience validation,,KEEP,12
417,manage,Manage and validate encryption key rotation and access controls,,KEEP,9
433,manage,Manage vendor onboarding security compliance,,KEEP,9
443,manage,Manage and validate emergency rollback and patch deployment procedures,,KEEP,8
447,manage,Manage attack surface inventories for accuracy and completeness,,KEEP,8
498,manage,Manage and monitor external sharing controls for sensitive documentation,,KEEP,9
511,manage,Manage version control for model code and configurations,,KEEP,9
531,manage,Manage datasets with proper labeling and metadata,,KEEP,11
536,manage,Manage cloud resources for scalable model training,,KEEP,11
566,manage,Manage model artifacts and versioned checkpoints,,KEEP,11
577,manage,Manage and maintain reproducible machine learning environments,,KEEP,12
580,manage,Manage and track data labeling and quality assurance processes,,KEEP,9
21,monitor,Monitor and maintain web service availability and network configuration,,KEEP,9
43,monitor,Monitor and analyze web user interactions using analytics tools,,KEEP,8
47,monitor,Monitor and analyze application logs for system insights,,KEEP,8
52,monitor,Monitor and analyze user activity with analytics tools,,KEEP,9
59,monitor,Monitor and analyze system and application performance metrics,,KEEP,9
79,monitor,Monitor system performance and service metrics,,KEEP,8
86,monitor,Monitor service availability and automate alert notifications,,KEEP,8
93,monitor,Monitor system and application memory usage,,KEEP,9
114,monitor,Monitor and evaluate web page performance metrics,,KEEP,6
120,monitor,Monitor and analyze user session data,,KEEP,9
126,monitor,Monitor and analyze third-party API status,,KEEP,9
136,monitor,Monitor and visualize application performance metrics,,KEEP,8
152,monitor,Monitor and analyze application error data,,KEEP,6
162,monitor,Monitor and visualize server resource utilization,,KEEP,9
167,monitor,Monitor and analyze payment transactions for fraudulent activity,,KEEP,9
177,monitor,Monitor and inspect application error logs and rates,,KEEP,6
190,monitor,Monitor and analyze server and network performance,,KEEP,6
192,monitor,Monitor backend service metrics and performance,,KEEP,6
205,monitor,Monitor and analyze website availability metrics,,KEEP,13
209,monitor,Monitor and analyze cache performance metrics,,KEEP,13
219,monitor,Monitor and improve database query efficiency,,KEEP,12
224,monitor,Monitor and report application errors,,KEEP,10
232,monitor,Monitor and analyze system and website performance metrics,,KEEP,9
236,monitor,Monitor and visualize system and application metrics,,KEEP,9
240,monitor,Monitor and analyze system security logs,,KEEP,9
244,monitor,Monitor and track frontend JavaScript errors,,KEEP,9
251,monitor,Monitor and inspect network configuration and connectivity,,KEEP,9
253,monitor,Monitor and analyze system log data,,KEEP,9
255,monitor,Monitor and inspect API endpoint responses,,KEEP,9
265,monitor,Monitor and debug application error handling,,KEEP,9
270,monitor,Monitor and configure CORS and security policies,,KEEP,6
272,monitor,Monitor and validate audit logs for critical actions,,KEEP,6
274,monitor,Monitor and test API versioning for security gaps,,KEEP,6
275,monitor,Monitor system logs and performance metrics,,KEEP,6
287,monitor,Monitor batch jobs for security and operational issues,,KEEP,9
296,monitor,Monitor and analyze queue processing for anomalies,,KEEP,7
303,monitor,Monitor and analyze system and application logs for anomalous activity patterns,,KEEP,9
312,monitor,Monitor application performance metrics for potential security implications,,KEEP,9
320,monitor,Monitor anomaly detection alerts and correlate across multiple applications,,KEEP,8
331,monitor,Monitor and assess user session behavior across applications for potential security gaps,,KEEP,9
332,monitor,Monitor data retention and archival policies for compliance and security,,KEEP,9
336,monitor,Monitor patch management effectiveness across multiple environments,,KEEP,9
339,monitor,Monitor and evaluate incident detection and response effectiveness,,KEEP,9
343,monitor,Monitor and validate alerting thresholds across multiple monitoring tools,,KEEP,9
354,monitor,Monitor network encryption protocols and identify weaknesses,,KEEP,9
356,monitor,Monitor and audit wireless network configurations for unauthorized access,,KEEP,9
358,monitor,Monitor network traffic and analyze packet captures for sensitive data exposure,,KEEP,9
364,monitor,Monitor and enforce endpoint security across devices,,KEEP,7
365,monitor,Monitor and evaluate DNS configurations for leakage risks,,KEEP,7
380,monitor,Monitor API gateways for abuse patterns,,KEEP,9
394,monitor,Monitor privileged administrative actions through log analysis,,KEEP,12
398,monitor,Monitor and validate alert escalation workflows during simulated security incidents,,KEEP,12
399,monitor,Monitor and evaluate endpoint detection and response systems,,KEEP,12
404,monitor,Monitor and ensure multi-factor authentication coverage across systems,,KEEP,12
405,monitor,Monitor and assess third-party vendor security in the supply chain,,KEEP,12
406,monitor,Monitor and assess cloud tenant isolation and cross-tenant risks,,KEEP,12
410,monitor,Monitor and validate API logging for forensic readiness,,KEEP,9
413,monitor,Monitor and validate data loss prevention controls for sensitive data flows,,KEEP,9
418,monitor,Monitor and analyze telemetry data for anomaly detection effectiveness,,KEEP,9
427,monitor,Monitor and assess secrets exposure in code and configuration repositories,,KEEP,9
428,monitor,Monitor and assess lateral movement detection coverage in network traffic,,KEEP,9
429,monitor,Monitor and validate the secure exposure of developer and staging environments,,KEEP,9
430,monitor,Monitor and assess vulnerability remediation efforts against defined risk thresholds,,KEEP,9
431,monitor,Monitor and validate segregation of duties in privileged operations workflows,,KEEP,9
432,monitor,Monitor and analyze observability for critical business transactions,,KEEP,9
434,monitor,Monitor threat intelligence integration and detection workflows,,KEEP,9
435,monitor,Monitor and assess compliance with secure baselines for container images and runtimes,,KEEP,9
436,monitor,Monitor and enforce data classification policies across systems,,KEEP,9
441,monitor,Monitor and validate endpoint posture compliance and configuration drift,,KEEP,8
442,monitor,Monitor and assess the maturity of application security testing programs,,KEEP,8
485,monitor,Monitor exposure of developer tools and CI artifacts to the internet,,KEEP,9
486,monitor,Monitor security tagging and metadata for asset prioritization,,KEEP,9
487,monitor,Monitor external scanning cadence and scope coverage,,KEEP,9
490,monitor,Monitor and validate security configurations for new infrastructure components,,KEEP,9
491,monitor,Monitor and validate DNS security configurations,,KEEP,9
492,monitor,Monitor and assess incident response playbook effectiveness,,KEEP,9
494,monitor,Monitor and audit privileged credential vault access,,KEEP,9
495,monitor,Monitor and optimize telemetry sampling strategies,,KEEP,9
496,monitor,Monitor and validate escalation processes for vulnerability disclosures,,KEEP,9
497,monitor,Monitor and evaluate the resilience of service meshes and proxies,,KEEP,9
506,monitor,Monitor model training and detect overfitting,,KEEP,10
513,monitor,Monitor deployed models for drift in input data distribution,,KEEP,11
521,monitor,Monitor system resource utilization during model training,,KEEP,9
538,monitor,Monitor model accuracy decay over time in production,,KEEP,11
547,monitor,Monitor training datasets for data quality issues,,KEEP,7
553,monitor,Monitor model drift and retrain when necessary,,KEEP,10
564,monitor,Monitor model inference logs for anomalies,,KEEP,11
571,monitor,Monitor cloud-based training costs and resource usage,,KEEP,12
578,monitor,Monitor and evaluate model fairness,,KEEP,12
579,monitor,Monitor model performance on live data streams,,KEEP,12
591,monitor,Monitor model latency and optimize serving endpoints,,KEEP,12
597,monitor,Monitor input data streams for anomalies,,KEEP,12
606,monitor,Monitor drift in feature distributions across multiple datasets,,KEEP,8
618,monitor,Monitor and ensure reproducibility of experiments across environments,,KEEP,10
622,monitor,Monitor and optimize cloud resource allocation for cost efficiency,,KEEP,9
624,monitor,Monitor and alert on model performance during production inference,,KEEP,9
629,monitor,Monitor fairness metrics for group-specific predictions,,KEEP,9
634,monitor,Monitor ensemble model consistency across predictions,,KEEP,8
